unique_key,complaint_type,complaint_description,owning_department,source,status,status_change_date,created_date,last_update_date,close_date,incident_address,street_number,street_name,city,incident_zip,county,state_plane_x_coordinate,state_plane_y_coordinate,latitude,longitude,location,council_district_code,map_page,map_tile
19-00197020,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2019-07-16 16:06:26 UTC,2019-05-29 08:55:20 UTC,2019-07-16 16:06:26 UTC,2019-07-16 16:06:26 UTC,"14009 LAYNE LOOP, AUSTIN, TX 78641",14009,LAYNE,AUSTIN,78641,TRAVIS,3036029.63190266,10184779.1991757,30.5862944,-97.98309628,"(30.5862944, -97.98309628)",,309T,WW49
18-00195465,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2018-06-22 10:38:54 UTC,2018-06-22 07:16:30 UTC,2018-06-22 10:38:54 UTC,2018-06-22 10:38:54 UTC,13904 JOYCE DR TX 78641,13904,JOYCE,,78641,TRAVIS,3035977.85068417,10184379.7788641,30.58519941,-97.98328763,"(30.58519941, -97.98328763)",,309T,WW49
18-00431393,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2018-12-20 09:33:49 UTC,2018-12-18 17:08:12 UTC,2018-12-20 09:33:49 UTC,2018-12-20 09:33:49 UTC,"14009 LAYNE LOOP, LEANDER, TX 78641",14009,LAYNE,LEANDER,78641,TRAVIS,3035940.08676320,10184842.1461565,30.58647264,-97.98337658,"(30.58647264, -97.98337658)",,309T,WW49
19-00256775,ACLONAG,Loose Dog,Animal Services Office,Phone,Open,2019-07-08 09:54:34 UTC,2019-07-08 09:54:34 UTC,2019-07-09 23:00:05 UTC,,"14226 LAYNE LOOP, LEANDER, TX 78641",14226,LAYNE,Leander,78641,TRAVIS,3037145.21279552,10185300.959214,30.58766387,-97.97951652,"(30.58766387, -97.97951652)",,309T,WW49
18-00171106,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2018-06-05 10:51:52 UTC,2018-06-04 14:42:13 UTC,2018-06-05 10:51:52 UTC,2018-06-05 10:51:52 UTC,14113 LAYNE LOOP TX 78641,14113,LAYNE,,78641,TRAVIS,3036257.44240365,10185146.7399471,30.58729153,-97.98234774,"(30.58729153, -97.98234774)",,309T,WW49
19-00075967,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2019-03-04 13:34:15 UTC,2019-03-02 16:56:50 UTC,2019-03-04 13:34:16 UTC,2019-03-04 13:34:15 UTC,"25603 FIREPLACE CT, AUSTIN, TX 78641",25603,FIREPLACE,AUSTIN,78641,TRAVIS,3034409.36293849,10186049.2773093,30.58987986,-97.98815948,"(30.58987986, -97.98815948)",,309T,WW49
16-00299887,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2016-11-17 08:46:21 UTC,2016-11-12 22:00:32 UTC,2016-11-17 07:46:12 UTC,2016-11-17 08:46:21 UTC,SUMMIT VIEW DR & RANCH RD TX 78641,,SUMMIT VIEW DR & RANCH RD,,78641,TRAVIS,3038061.75153118,10186124.8079258,30.58987526,-97.97654878,"(30.58987526, -97.97654878)",,309U,WX49
15-00007304,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2015-02-05 14:08:43 UTC,2015-01-12 15:50:15 UTC,2015-02-05 13:11:24 UTC,2015-02-05 14:08:43 UTC,24508 FAWN DR B TX,24508,FAWN,,78641,TRAVIS,3040164.64995852,10185867.6666356,30.58904572,-97.9698841,"(30.58904572, -97.9698841)",,309U,WX49
15-00007047,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2015-01-12 17:09:11 UTC,2015-01-12 10:43:01 UTC,2015-01-12 16:11:46 UTC,2015-01-12 17:09:11 UTC,24508 FAWN DR B TX,24508,FAWN,,78641,TRAVIS,3040164.64995852,10185867.6666356,30.58904572,-97.9698841,"(30.58904572, -97.9698841)",,309U,WX49
14-00061529,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2014-04-09 11:28:19 UTC,2014-04-07 11:41:08 UTC,2014-04-09 10:30:23 UTC,2014-04-09 11:28:19 UTC,24310 SHEEP HOLLOW TRL TX,24310,SHEEP HOLLOW,OTHER,78641,TRAVIS,3040438.05420533,10184238.4518884,30.58455106,-97.9691254,"(30.58455106, -97.9691254)",,309U,WX49
15-00050226,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2015-03-26 13:32:53 UTC,2015-03-16 08:45:39 UTC,2015-03-26 12:35:45 UTC,2015-03-26 13:32:53 UTC,24704 LONG HOLLOW TRL TX,24704,LONG HOLLOW,OTHER,78641,TRAVIS,3038408.29811838,10184675.8751787,30.58587197,-97.97554521,"(30.58587197, -97.97554521)",,309U,WX49
14-00070395,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2014-04-19 16:23:47 UTC,2014-04-17 16:28:23 UTC,2014-04-19 15:25:51 UTC,2014-04-19 16:23:47 UTC,24505 LONG HOLLOW TRL TX,24505,LONG HOLLOW,,78641,TRAVIS,3039419.47,10184305.12,30.5847938,-97.97235731,"(30.5847938, -97.97235731)",,309U,WX49
14-00009163,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2014-01-18 09:18:00 UTC,2014-01-15 16:56:00 UTC,2014-01-18 08:20:00 UTC,2014-01-18 09:18:00 UTC,SHEEP HOLLOW TRL & LIVE OAK DR TX,,SHEEP HOLLOW TRL & LIVE OAK DR,,78641,TRAVIS,3040434.26,10184211.69,30.58447771,-97.96913926,"(30.58447771, -97.96913926)",,309U,WX49
16-00017987,ACLONAG,Loose Dog,Animal Services Office,Phone,Open,2016-01-25 14:24:36 UTC,2016-01-25 14:24:36 UTC,2016-01-25 14:24:36 UTC,,"24404 LONG HOLLOW TRL, LEANDER, TX 78641",24404,LONG HOLLOW,LEANDER,78641,TRAVIS,3040169.48082257,10184138.0214185,30.58429066,-97.96998553,"(30.58429066, -97.96998553)",,309U,WX49
17-00081573,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2017-04-01 16:09:58 UTC,2017-03-31 12:24:04 UTC,2017-04-01 16:09:57 UTC,2017-04-01 16:09:58 UTC,"24502 LONG HOLLOW TRL, LEANDER, TX 78641",24502,LONG HOLLOW,LEANDER,78641,TRAVIS,3039578.19296566,10184536.2772815,30.58541999,-97.9718374,"(30.58541999, -97.9718374)",,309U,WX49
17-00266014,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2017-09-10 08:28:45 UTC,2017-09-08 10:17:28 UTC,2017-09-10 08:28:45 UTC,2017-09-10 08:28:45 UTC,24602 FAWN DR TX 78641,24602,FAWN,,78641,TRAVIS,3039908.27619384,10185973.2483597,30.58935094,-97.9706916,"(30.58935094, -97.9706916)",,309U,WX49
19-00068729,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2019-02-27 07:42:39 UTC,2019-02-25 15:20:00 UTC,2019-02-27 07:42:39 UTC,2019-02-27 07:42:39 UTC,"24401 SHEEP HOLLOW TRL, AUSTIN, TX 78641",24401,SHEEP HOLLOW,AUSTIN,78641,TRAVIS,3040169.50268568,10184379.9974952,30.58495585,-97.96996912,"(30.58495585, -97.96996912)",,309U,WX49
19-00105491,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2019-03-28 16:26:31 UTC,2019-03-26 12:20:44 UTC,2019-03-28 16:26:30 UTC,2019-03-28 16:26:31 UTC,"24401 SHEEP HOLLOW TRL, AUSTIN, TX 78641",24401,SHEEP HOLLOW,AUSTIN,78641,TRAVIS,3040169.50268568,10184379.9974952,30.58495585,-97.96996912,"(30.58495585, -97.96996912)",,309U,WX49
19-00008410,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2019-01-31 12:13:00 UTC,2019-01-08 12:44:49 UTC,2019-01-31 12:13:00 UTC,2019-01-31 12:13:00 UTC,"24401 SHEEP HOLLOW TRL, LEANDER, TX 78641",24401,SHEEP HOLLOW,Leander,78641,TRAVIS,3040147.62787645,10184565.2893094,30.5854665,-97.97002612,"(30.5854665, -97.97002612)",,309U,WX49
19-00157122,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2019-05-03 07:52:42 UTC,2019-05-02 12:47:07 UTC,2019-05-03 07:52:42 UTC,2019-05-03 07:52:42 UTC,"24401 SHEEP HOLLOW TRL, AUSTIN, TX 78641",24401,SHEEP HOLLOW,AUSTIN,78641,TRAVIS,3040169.50268568,10184379.9974952,30.58495585,-97.96996912,"(30.58495585, -97.96996912)",,309U,WX49
18-00338051,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2018-10-06 16:49:00 UTC,2018-10-06 10:44:00 UTC,2018-10-06 16:49:00 UTC,2018-10-06 16:49:00 UTC,"14234 LAYNE LOOP, AUSTIN, TX 78641",14234,LAYNE,AUSTIN,78641,TRAVIS,3037352.313,10185196.03,30.58736336,-97.97886552,"(30.58736336, -97.97886552)",,309U,WX49
18-00396799,ACLONAG,Loose Dog,Animal Services Office,Spot311 Interface,Closed,2018-11-20 09:43:00 UTC,2018-11-19 10:36:00 UTC,2018-11-20 09:43:00 UTC,2018-11-20 09:43:00 UTC,"24387 SHEEP HOLLOW TRL, AUSTIN, TX 78641",24387,SHEEP HOLLOW,AUSTIN,78641,TRAVIS,3040189.437,10184508.81,30.58530879,-97.96989709,"(30.58530879, -97.96989709)",,309U,WX49
